z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.8215922934877377,0.7542500880267711,0.3174334338085061,0,0,0,100.0,100.0
0.7721472788035336,0.7770808748165157,0.1982964164028514,0,0,0,100.0,100.0
0.749345568805966,0.7510001331331556,0.0443304229725673,0,0,0,100.0,100.0
0.7192605731170216,0.7681979777173763,0.0501385152802014,0,0,0,100.0,100.0
0.7566772221742092,0.7925354533101906,0.0379414787068724,0,0,0,100.0,100.0
0.7740008458668144,0.7385328512757583,0.0194692367676414,0,0,0,100.0,100.0
0.751438181326898,0.775238885221698,0.0637605815015928,0,0,0,100.0,100.0
0.7666737694251122,0.7802873705899316,0.0598999988607011,0,0,0,100.0,100.0
0.7871621572796923,0.7434851367248823,0.0143752694285864,0,0,0,100.0,100.0
0.7434208104492247,0.7883250467846671,1.0,0,0,0,100.0,100.0
0.5392870688119014,0.4996766204911884,0.3082087898168686,1,1,10,100.0,100.0
0.5408470482944181,0.4490335706213178,0.0153503707926626,1,1,10,100.0,100.0
0.5640841536148044,0.4098833988443429,0.0291621625937703,1,1,10,100.0,100.0
0.5996791226759212,0.4865752547709671,0.0266641406496119,1,1,10,100.0,100.0
0.5800291608108405,0.4643728683376424,0.0833999780245265,1,1,10,100.0,100.0
0.5301953095961796,0.461029316520665,0.0464911596633352,1,1,10,100.0,100.0
0.4998280358462129,0.4842164829549667,0.028601542058332,1,1,10,100.0,100.0
0.5752376245140302,0.4871043071705901,0.5244866651035939,1,1,10,100.0,100.0
0.5718731604952305,0.4375481694096031,0.0555711560801181,1,1,10,100.0,100.0
0.5528166902519576,0.4564062706299929,0.958904801577766,1,1,10,100.0,100.0
