z,theta,momentum,truegroup,qagroup,ktgroup,qascore,ktscore
0.7754376090011137,0.7511806832821559,0.0024451263665329,0,,0,0.0,36.44859813084112
0.8520475537274429,0.8263624416853185,0.0016626858223314,0,,1,0.0,36.44859813084112
0.850394402129129,0.8359736832041489,0.0037536842010496,0,,1,0.0,36.44859813084112
0.859131302271095,0.8506199557303712,0.0540604387390102,0,,1,0.0,36.44859813084112
0.8222292439722527,0.8581993577906227,0.002779097863093,0,,1,0.0,36.44859813084112
0.8287547033465834,0.8095821100484578,1.0,0,,1,0.0,36.44859813084112
0.7457101498016268,0.8527013145721727,0.0075701626955073,1,,6,0.0,36.44859813084112
0.7221675060442115,0.826490927586936,0.0114900755118601,1,,7,0.0,36.44859813084112
0.681903959488247,0.8826151959154805,0.0030008560253082,1,,8,0.0,36.44859813084112
0.7578546548689151,0.9098793723781088,0.0156926962187723,1,,9,0.0,36.44859813084112
0.730658403245021,0.8597104072073185,0.002721951497315,1,,6,0.0,36.44859813084112
0.7182507776040203,0.8456460865130913,0.3074876601227383,1,,6,0.0,36.44859813084112
0.3543314942238363,0.2131177685429285,0.0084924319277632,2,,12,0.0,36.44859813084112
0.3904741560052824,0.2017719657038149,0.008780538853424,2,,13,0.0,36.44859813084112
0.3810599896349663,0.214638282335866,0.0564284026353292,2,,14,0.0,36.44859813084112
0.3488358513131491,0.1518260210420802,0.0074057922550204,2,,15,0.0,36.44859813084112
0.4226087609173888,0.1699137619135916,0.0021263475009016,2,,16,0.0,36.44859813084112
0.3734659914981516,0.1901649148516178,0.1657565854502294,2,,17,0.0,36.44859813084112
